Designator,Mid X,Mid Y,Rotation,Layer,Designator
C1,100nF,5.171212,11.864462,90,top
C2,100nF,19.575235,26.328659,180,top
C3,100nF,62.6,33.9,-90,top
C4,100nF,71.871212,22.984462,0,top
C5,100nF,114.325235,25.828659,-90,top
C6,100nF,136.771212,8.184462,0,top
C7,100nF,70.595235,9.284462,0,top
D1,WS2812B,3.521212,6.484462,-90,top
D3,WS2812B,25.371212,25.384462,0,top
D4,WS2812B,58.521212,31.584462,-90,top
D5,WS2812B,68.021212,20.484462,-90,top
D6,WS2812B,110.521212,24.828659,-90,top
D7,WS2812B,132.421212,5.784462,-90,top
Q1,NX7002AK,84.85,31.8375,90,top
Q2,NX7002AK,84.921212,25.846962,90,top
Q3,Q_PMOS_GSD,27.69,17.6,0,top
R1,3K3,62.7,27.725,90,top
R2,3K3,79.421212,19.464462,90,top
R3,27R,74.4,28.575,90,top
R4,27R,76.921212,32.5,90,top
R5,100K,84.925,22.8,180,top
R6,100K,84.925,28.9,180,top
SW1,SW_Push,101.947027,25.95058,-15,top
SW2,SW_Push,34.447027,25.95058,15,top
U3,LSM6DS3,67.634827,9.838352,-90,top
